failed_login_count,login_hour,new_device,new_ip,unique_locations,request_frequency,anomaly
0,8,0,0,1,3,0
21,4,0,0,5,48,1
3,17,0,0,1,7,0
16,4,1,0,5,88,1
7,0,0,1,2,49,1
0,14,0,1,1,3,0
1,18,0,0,1,9,0
1,15,1,0,1,6,0
23,5,1,0,5,70,1
3,10,0,0,1,9,0
3,17,1,0,1,3,0
0,20,0,0,1,3,0
3,17,0,1,2,10,0
18,1,1,0,4,84,1
1,16,0,0,1,3,0
16,23,1,0,2,50,1
0,9,1,0,1,3,0
1,12,1,0,1,5,0
5,4,0,0,2,29,1
0,11,0,0,1,2,0
2,18,1,0,1,10,0
18,2,1,1,5,26,1
22,3,0,1,3,55,1
3,11,0,1,1,1,0
0,9,0,0,2,8,0
3,8,0,1,1,7,0
3,12,1,1,1,4,0
0,17,0,0,1,1,0
12,3,0,0,2,99,1
17,1,1,1,4,29,1
0,15,0,0,1,9,0
2,9,0,0,1,3,0
2,17,0,0,1,3,0
15,1,1,1,4,26,1
0,18,1,0,1,1,0
1,18,0,0,2,9,0
0,9,0,0,1,6,0
1,14,0,0,1,6,0
0,13,0,0,1,6,0
3,17,0,0,1,3,0
27,0,1,0,5,48,1
11,3,1,1,2,55,1
2,18,1,0,1,2,0
2,10,0,0,1,10,0
18,0,0,1,5,28,1
2,17,0,0,1,9,0
3,13,1,0,1,4,0
3,18,0,0,2,9,0
2,12,0,1,1,8,0
1,16,1,0,1,5,0
6,1,1,0,5,73,1
27,0,0,1,3,42,1
3,8,0,0,2,3,0
2,20,1,1,2,3,0
3,15,0,0,1,9,0
1,12,1,0,1,4,0
2,16,0,0,1,4,0
1,19,0,0,2,7,0
3,14,0,0,2,7,0
0,20,1,1,1,6,0
3,14,0,1,1,5,0
0,14,0,1,1,8,0
0,14,0,0,2,3,0
1,8,0,1,1,4,0
2,20,1,0,2,5,0
3,8,0,0,1,2,0
0,20,0,0,1,1,0
1,10,1,0,1,8,0
2,10,0,0,1,2,0
2,17,1,1,1,2,0
1,9,0,0,1,6,0
16,5,1,0,5,42,1
2,17,1,1,2,10,0
1,9,0,1,1,8,0
3,13,0,1,1,3,0
2,20,0,0,1,10,0
2,16,0,0,1,4,0
3,16,0,1,2,8,0
0,12,0,1,1,5,0
2,15,0,1,1,6,0
2,12,0,0,1,4,0
1,11,0,1,1,10,0
5,5,0,1,2,26,1
2,19,0,1,1,1,0
3,15,1,0,1,1,0
3,9,0,1,2,2,0
29,3,0,1,5,76,1
2,17,1,0,1,10,0
10,4,0,0,2,72,1
3,19,1,0,1,4,0
2,19,1,0,1,5,0
1,14,0,0,1,5,0
27,2,1,1,5,76,1
0,17,0,1,1,10,0
0,11,0,0,1,3,0
3,12,0,1,2,2,0
3,13,0,0,1,6,0
3,12,1,0,2,2,0
21,2,1,1,2,46,1
25,4,0,0,4,90,1
0,16,1,0,1,2,0
0,18,0,1,1,9,0
11,4,0,0,4,73,1
2,20,0,0,1,5,0
3,10,1,1,1,6,0
3,15,0,0,1,10,0
3,8,0,1,2,7,0
1,15,0,0,1,2,0
3,9,1,0,1,7,0
1,9,1,0,1,10,0
7,1,1,0,2,75,1
0,20,0,1,1,5,0
0,13,0,0,1,6,0
17,4,0,1,3,49,1
3,18,0,1,1,1,0
3,12,0,0,2,6,0
17,23,1,0,3,68,1
2,17,0,0,1,7,0
0,17,1,0,1,10,0
1,18,0,0,1,2,0
14,2,1,0,3,36,1
2,16,0,0,1,8,0
12,23,1,1,2,70,1
0,12,0,1,1,5,0
2,9,0,1,1,10,0
2,17,0,0,2,5,0
12,4,0,1,5,67,1
3,17,0,1,1,8,0
2,8,0,0,2,8,0
2,9,0,0,1,7,0
0,15,0,0,1,1,0
12,2,0,0,4,38,1
16,23,0,1,2,42,1
2,8,0,1,1,2,0
30,23,1,1,2,27,1
7,2,0,0,3,55,1
2,14,0,1,2,2,0
0,18,0,1,2,4,0
3,14,1,0,1,7,0
2,13,0,1,1,2,0
22,4,1,0,5,65,1
21,1,0,1,3,33,1
18,23,0,1,2,43,1
9,4,1,0,3,23,1
0,19,0,1,2,8,0
24,0,0,1,5,74,1
3,17,1,1,1,4,0
0,13,1,0,1,10,0
11,23,0,1,4,61,1
0,8,1,1,1,3,0
1,16,0,0,2,1,0
3,9,0,1,2,7,0
8,1,1,1,2,70,1
25,0,0,1,4,38,1
1,9,0,0,1,3,0
0,10,1,1,2,10,0
2,18,0,0,2,2,0
19,3,0,0,4,56,1
0,18,0,1,2,10,0
6,3,0,1,2,84,1
1,8,0,1,2,9,0
1,13,0,0,2,7,0
0,20,0,0,1,2,0
3,12,0,0,1,2,0
1,13,0,1,1,10,0
26,3,1,0,4,59,1
1,11,0,1,1,4,0
1,9,0,0,1,6,0
1,17,1,0,1,3,0
1,19,1,0,2,6,0
30,23,1,0,4,93,1
3,15,0,1,2,3,0
1,12,0,1,1,9,0
0,12,0,0,1,8,0
1,14,0,0,2,6,0
3,8,1,0,1,7,0
2,11,0,0,1,6,0
1,8,0,1,1,8,0
0,9,0,0,1,3,0
18,5,1,0,2,83,1
16,1,1,0,2,87,1
2,9,0,1,2,1,0
26,5,0,1,3,25,1
2,16,0,0,2,8,0
11,0,1,1,5,89,1
3,12,0,0,1,6,0
0,18,0,0,1,6,0
3,19,1,1,1,3,0
3,13,0,0,2,2,0
1,16,0,0,1,2,0
2,12,1,1,1,8,0
25,3,1,0,2,38,1
3,8,0,0,1,6,0
0,17,0,1,1,6,0
0,17,0,0,2,6,0
1,9,0,0,2,9,0
0,12,0,1,1,10,0
27,3,0,1,4,28,1
11,23,0,0,5,23,1
2,16,0,1,1,10,0
0,12,1,1,2,7,0
0,10,0,0,2,8,0
2,10,0,0,2,9,0
0,9,0,0,1,3,0
1,13,0,0,1,4,0
2,10,0,0,1,10,0
25,23,1,0,5,99,1
0,15,0,0,2,4,0
3,12,1,0,1,3,0
3,15,0,0,1,6,0
2,19,0,1,1,6,0
0,13,0,1,1,5,0
1,9,0,0,2,10,0
1,13,0,0,1,8,0
3,15,0,1,1,2,0
3,11,0,0,1,1,0
3,12,0,0,2,3,0
22,1,1,1,2,69,1
3,20,0,0,1,2,0
2,16,0,0,1,10,0
0,8,0,0,1,8,0
1,17,0,0,1,3,0
2,17,0,1,1,8,0
2,13,0,1,1,1,0
2,18,0,0,2,3,0
15,3,0,1,3,72,1
3,19,0,0,1,9,0
3,16,1,0,1,8,0
2,16,0,0,2,4,0
2,16,0,0,1,5,0
26,4,1,1,4,38,1
2,8,0,0,1,8,0
28,4,0,0,2,87,1
1,18,0,0,1,7,0
3,9,0,0,1,7,0
3,15,0,0,1,5,0
0,18,0,0,1,7,0
1,8,1,1,1,5,0
0,12,0,0,1,8,0
3,10,1,0,1,2,0
3,18,0,0,1,6,0
1,10,1,1,1,2,0
17,1,1,1,4,58,1
0,12,0,0,1,2,0
1,14,0,0,1,6,0
1,10,1,0,2,10,0
3,20,0,0,1,9,0
2,9,0,0,1,10,0
1,13,1,0,1,10,0
3,20,0,1,1,9,0
0,16,1,0,1,7,0
0,19,0,0,1,7,0
0,16,0,0,2,1,0
1,20,0,1,1,7,0
22,3,0,0,2,22,1
2,15,1,1,1,4,0
1,12,0,0,1,7,0
24,5,0,0,2,71,1
3,11,0,0,1,9,0
1,19,0,0,1,5,0
1,14,0,0,1,9,0
1,18,1,1,1,6,0
3,20,0,1,2,3,0
1,20,1,0,1,5,0
1,20,1,0,2,7,0
1,14,0,0,1,6,0
3,13,0,0,1,5,0
0,9,0,0,2,4,0
2,12,0,0,1,2,0
3,11,0,1,1,9,0
2,14,1,0,1,5,0
3,15,0,1,1,4,0
3,8,0,0,1,5,0
3,12,0,0,1,4,0
1,15,0,0,2,8,0
2,10,0,1,1,9,0
0,16,0,0,1,1,0
1,9,0,0,1,9,0
0,17,1,1,1,1,0
3,8,0,0,1,1,0
11,4,1,1,4,70,1
0,13,1,1,1,4,0
0,18,0,0,2,7,0
3,8,0,0,1,8,0
2,17,0,0,1,4,0
3,12,0,0,1,9,0
27,23,1,0,4,40,1
1,17,1,0,2,3,0
7,2,1,1,2,54,1
23,5,1,0,4,51,1
0,9,0,0,2,3,0
2,13,0,0,1,5,0
2,9,0,0,1,7,0
24,23,1,1,2,57,1
13,2,1,1,3,28,1
1,14,0,1,1,8,0
14,0,1,1,5,62,1
3,13,1,0,1,6,0
1,15,0,0,2,6,0
3,17,0,0,2,5,0
28,3,0,1,4,28,1
3,18,1,0,1,4,0
1,19,1,1,1,8,0
3,17,1,1,1,6,0
25,5,1,1,5,33,1
0,9,0,0,1,8,0
18,0,0,0,4,59,1
28,5,1,1,2,58,1
0,20,0,0,1,2,0
1,19,0,0,1,6,0
3,11,1,0,1,7,0
29,5,0,0,3,66,1
2,11,1,0,1,8,0
2,17,1,1,1,6,0
3,17,0,0,1,3,0
1,12,0,0,1,3,0
3,17,0,1,2,3,0
19,4,0,1,2,82,1
1,11,1,1,2,8,0
3,15,0,0,1,4,0
2,11,0,0,2,10,0
3,16,0,0,1,9,0
25,23,0,1,2,77,1
28,4,1,1,3,98,1
1,20,0,0,1,10,0
2,17,0,0,1,5,0
0,10,1,0,1,3,0
1,11,0,0,1,7,0
2,18,1,1,2,2,0
0,14,0,0,2,8,0
0,20,0,1,1,2,0
3,11,1,0,2,5,0
25,23,1,0,2,40,1
3,15,0,1,1,3,0
26,5,0,0,5,100,1
20,0,0,0,5,21,1
0,19,0,0,2,3,0
1,14,0,0,1,6,0
2,10,1,0,1,2,0
0,17,0,1,1,4,0
8,4,1,1,5,60,1
1,11,0,0,1,9,0
2,20,0,0,1,9,0
1,19,1,0,1,4,0
0,11,1,0,1,6,0
1,14,1,0,1,8,0
6,23,1,1,5,74,1
11,23,0,1,5,95,1
18,0,1,0,4,42,1
0,8,0,0,1,8,0
2,10,0,0,1,2,0
0,13,1,0,1,5,0
